Date,COST,PYPL,EBAY,DIS,ATVI,AMZN,COST Pos,PYPL Pos,EBAY Pos,DIS Pos,ATVI Pos,AMZN Pos,Total Pos,Daily return,Cumulative return
21/01/20,298.5528032,116.15,34.18939268,143.56,60.37070024,94.37270543,3555.422102701204,5570.743405275779,2286.543836197223,2462.7042002355292,2796.3899335414876,4950.365521568383,21622.168999519603,0.007577927387524053,1.1622168999519609
22/01/20,297.2471231,115.5,34.35210816,144.01,59.28949265,94.14625084,3539.87294745349,5539.568345323741,2297.4260440600588,2470.423738338803,2746.3080559299146,4938.486737449299,21532.085868555303,-0.0041662393336349135,1.1532085868555306
23/01/20,298.1906437,117.89,34.0841062,142.2,59.10273861,94.00259683,3551.109197656596,5654.196642685851,2279.5024080521794,2439.3740406345237,2737.657549716999,4930.951297462718,21592.791136208867,0.002819293403534928,1.159279113620887
24/01/20,295.9319125,116.98,33.84481874,140.08,58.38520993,92.85835272,3524.210294861297,5610.551558752997,2263.499161903196,2403.0064389035456,2704.4213942673746,4870.929423928498,21376.61827261691,-0.010011344167056624,1.1376618272616912
27/01/20,294.9216783,115.24,33.95967672,135.9,57.32366066,91.1973532,3512.179562055956,5527.098321342925,2271.180720001205,2331.3005071886905,2655.250096257161,4783.800897542777,21080.810104388715,-0.013837930979341162,1.1080810104388719
28/01/20,296.2559499,116.52,34.65839611,138.37,59.00444701,92.43986064,3528.0692093371063,5588.489208633093,2317.910199211012,2373.6721941111045,2733.104651710201,4848.977221176209,21390.222684178727,0.014677452064595808,1.139022268417873
29/01/20,295.0455749,116.66,33.09824185,136.06,59.36812593,92.67679,3513.655028725061,5595.2038369304555,2213.569032928562,2334.0452318476323,2749.9503743353525,4861.40546437902,21267.828969146085,-0.005721946743601269,1.1267828969146088
30/01/20,294.9407393,117.12,33.55767378,137.81,59.84975476,93.3092667,3512.4065567449134,5617.266187050359,2244.2952659893863,2364.065657804809,2772.2595741054593,4894.582332993829,21404.875574688755,0.006443845572648099,1.1404875574688758
31/01/20,291.1761873,113.89,32.121949,138.31,57.48092722,100.1946833,3467.5750520860806,5462.350119904076,2148.2757877579106,2372.6429223640016,2662.5347330680374,5255.760162780188,21369.138777960296,-0.0016695633947397814,1.13691387779603
03/02/20,287.8214472,116.51,32.91638338,141.32,57.2155399,99.96922633,3427.623938003365,5588.009592326139,2201.4065658285836,2424.278055010344,2650.2419084496833,5243.933709296632,21535.493768914745,0.007784824305882898,1.1535493768914749
04/02/20,290.5852956,120.08,35.80697593,144.73,58.19845589,102.2372638,3460.538208392219,5759.232613908872,2394.725781528677,2482.774999304041,2695.7708880544587,5362.904702466273,22155.94719365454,0.028810735959784894,1.2155947193654546
